date,sym,time,price,size,qualifier,bid,ask
2013-01-15,BARC.L,08:39:21.600,244.818,998220,Auc,244.813,244.823
2013-01-15,VODl.TQ,08:39:21.600,159.82,680410,DARKTRADE,159.815,159.825
2013-01-15,BARCl.CHI,08:39:50.400,244.776,662610,a,244.771,244.781
2013-01-15,VODl.CHI,08:39:50.400,162.937,129210,DRK,162.932,162.942
2013-01-15,BARCl.BS,08:40:19.200,245.036,832890,c,245.031,245.041
2013-01-15,VODl.BS,08:40:19.200,160.613,569600,DARK,160.608,160.618
2013-01-15,BARC.L,08:40:48.000,243.336,661990,B,243.331,243.341
2013-01-15,VODl.BS,08:40:48.000,159.588,383640,B,159.583,159.593
2013-01-15,BARCl.BS,08:41:16.800,246.39,113240,x,246.385,246.395
2013-01-15,VODl.TQ,08:41:16.800,159.65,148120,Auc,159.645,159.655
2013-01-15,BARC.TQ,08:41:45.600,243.26,152220,A,243.255,243.265
2013-01-15,VODl.TQ,08:41:45.600,159.27,916250,DARKTRADE,159.265,159.275
2013-01-15,BARC.TQ,08:42:14.400,247.078,835080,m,247.073,247.083
2013-01-15,VODl.TQ,08:42:14.400,160.809,406280,Auc,160.804,160.814
2013-01-15,BARC.L,08:42:43.200,247.079,264070,DARKTRADE,247.074,247.084
2013-01-15,VODl.TQ,08:42:43.200,159.39,391060,B,159.385,159.395
2013-01-15,BARC.L,08:43:12.000,243.141,950460,Auc,243.136,243.146
2013-01-15,VOD.L,08:43:12.000,160.356,930240,Auc,160.351,160.361
2013-01-15,BARCl.BS,08:43:40.800,241.037,252580,c,241.032,241.042
2013-01-15,VODl.TQ,08:43:40.800,162.535,376930,C,162.53,162.54
2013-01-15,BARCl.BS,08:44:09.600,241.924,944090,A,241.919,241.929
2013-01-15,VODl.TQ,08:44:09.600,160.037,840000,m,160.032,160.042
2013-01-15,BARC.L,08:44:38.400,240.936,859930,B,240.931,240.941
2013-01-15,VOD.L,08:44:38.400,162.692,367700,C,162.687,162.697
2013-01-15,BARC.TQ,08:45:07.200,246.305,412340,DARKTRADE,246.3,246.31
2013-01-15,VODl.CHI,08:45:07.200,159.526,904220,x,159.521,159.531
2013-01-15,BARC.L,08:45:36.000,246.938,968050,Auc,246.933,246.943
2013-01-15,VODl.TQ,08:45:36.000,158.99,850750,DARKTRADE,158.985,158.995
2013-01-15,BARC.L,08:46:04.800,246.587,956930,A,246.582,246.592
2013-01-15,VODl.CHI,08:46:04.800,162.82,475900,c,162.815,162.825
2013-01-15,BARCl.BS,08:46:33.600,245.456,432900,A,245.451,245.461
2013-01-15,VODl.BS,08:46:33.600,163.014,761960,AUC,163.009,163.019
2013-01-15,BARC.L,08:47:02.400,246.065,804680,Auc,246.06,246.07
2013-01-15,VODl.TQ,08:47:02.400,161.708,691990,C,161.703,161.713
2013-01-15,BARC.L,08:47:31.200,246.715,902900,X,246.71,246.72
2013-01-15,VOD.L,08:47:31.200,161.395,732480,A,161.39,161.4
2013-01-15,BARC.L,08:48:00.000,244.654,235820,C,244.649,244.659
2013-01-15,VOD.L,08:48:00.000,163.018,772940,DARKTRADE,163.013,163.023
2013-01-15,BARC.L,08:48:28.800,241.112,164590,Auc,241.107,241.117
2013-01-15,VOD.L,08:48:28.800,159.93,959100,Auc,159.925,159.935
2013-01-15,BARC.TQ,08:48:57.600,241.143,500940,m,241.138,241.148
2013-01-15,VODl.CHI,08:48:57.600,161.117,339170,b,161.112,161.122
2013-01-15,BARCl.BS,08:49:26.400,244.213,665730,DARK,244.208,244.218
2013-01-15,VODl.CHI,08:49:26.400,162.492,850590,c,162.487,162.497
2013-01-15,BARCl.CHI,08:49:55.200,241.299,48730,b,241.294,241.304
2013-01-15,VODl.TQ,08:49:55.200,161.868,882760,m,161.863,161.873
2013-01-15,BARCl.BS,08:50:24.000,244.7,271170,x,244.695,244.705
2013-01-15,VODl.CHI,08:50:24.000,158.989,530420,b,158.984,158.994
2013-01-15,BARC.TQ,08:50:52.800,247.084,328230,Auc,247.079,247.089
2013-01-15,VOD.L,08:50:52.800,158.978,337970,B,158.973,158.983
2013-01-15,BARC.TQ,08:51:21.600,242.254,891800,Auc,242.249,242.259
2013-01-15,VODl.BS,08:51:21.600,162.213,554160,x,162.208,162.218
2013-01-15,BARCl.BS,08:51:50.400,243.683,757670,c,243.678,243.688
2013-01-15,VODl.BS,08:51:50.400,161.888,215240,A,161.883,161.893
2013-01-15,BARCl.BS,08:52:19.200,245.161,738700,c,245.156,245.166
2013-01-15,VOD.L,08:52:19.200,160.554,244550,X,160.549,160.559
2013-01-15,BARCl.CHI,08:52:48.000,243.514,684420,c,243.509,243.519
2013-01-15,VODl.CHI,08:52:48.000,162.116,10340,DRK,162.111,162.121
2013-01-15,BARCl.CHI,08:53:16.800,242.088,780970,auc,242.083,242.093
2013-01-15,VODl.TQ,08:53:16.800,159.98,720290,B,159.975,159.985
2013-01-15,BARC.L,08:53:45.600,241.263,651340,m,241.258,241.268
2013-01-15,VODl.BS,08:53:45.600,162.95,891320,B,162.945,162.955
2013-01-15,BARCl.CHI,08:54:14.400,241.028,531690,c,241.023,241.033
2013-01-15,VODl.TQ,08:54:14.400,160.393,72960,m,160.388,160.398
2013-01-15,BARCl.BS,08:54:43.200,242.816,968480,B,242.811,242.821
2013-01-15,VODl.BS,08:54:43.200,162.684,93750,DARK,162.679,162.689
2013-01-15,BARC.TQ,08:55:12.000,243.388,210030,C,243.383,243.393
2013-01-15,VODl.TQ,08:55:12.000,162.534,807180,A,162.529,162.539
2013-01-15,BARCl.BS,08:55:40.800,243.175,509520,c,243.17,243.18
2013-01-15,VODl.CHI,08:55:40.800,158.979,80020,a,158.974,158.984
2013-01-15,BARCl.CHI,08:56:09.600,241.469,309840,a,241.464,241.474
2013-01-15,VODl.TQ,08:56:09.600,161.79,854290,A,161.785,161.795
2013-01-15,BARCl.CHI,08:56:38.400,242.702,146340,DRK,242.697,242.707
2013-01-15,VODl.CHI,08:56:38.400,158.98,11100,a,158.975,158.985
2013-01-15,BARCl.BS,08:57:07.200,241.885,313260,c,241.88,241.89
2013-01-15,VOD.L,08:57:07.200,161.933,148670,B,161.928,161.938
2013-01-15,BARC.L,08:57:36.000,241.401,2750,C,241.396,241.406
2013-01-15,VODl.BS,08:57:36.000,161.57,339510,c,161.565,161.575
2013-01-15,BARCl.BS,08:58:04.800,241.391,434040,x,241.386,241.396
2013-01-15,VODl.BS,08:58:04.800,162.468,644190,AUC,162.463,162.473
2013-01-15,BARCl.CHI,08:58:33.600,242.683,174190,x,242.678,242.688
2013-01-15,VOD.L,08:58:33.600,162.757,228760,Auc,162.752,162.762
2013-01-15,BARCl.CHI,08:59:02.400,241.943,952330,auc,241.938,241.948
2013-01-15,VODl.CHI,08:59:02.400,159.514,230050,a,159.509,159.519
2013-01-15,BARCl.BS,08:59:31.200,243.082,391680,c,243.077,243.087
2013-01-15,VODl.BS,08:59:31.200,159.823,398350,c,159.818,159.828
2013-01-15,BARC.TQ,09:00:00.000,247.083,181170,C,247.078,247.088
2013-01-15,VOD.L,09:00:00.000,161.875,724780,B,161.87,161.88
2013-01-15,BARC.TQ,09:00:28.800,246.973,812650,X,246.968,246.978
2013-01-15,VODl.TQ,09:00:28.800,160.33,979220,X,160.325,160.335
2013-01-15,BARCl.CHI,09:00:57.600,240.975,114560,x,240.97,240.98
2013-01-15,VODl.CHI,09:00:57.600,161.861,204750,a,161.856,161.866
2013-01-15,BARCl.CHI,09:01:26.400,242.451,210660,c,242.446,242.456
2013-01-15,VODl.TQ,09:01:26.400,160.715,296430,Auc,160.71,160.72
2013-01-15,BARCl.BS,09:01:55.200,246.449,721450,AUC,246.444,246.454
2013-01-15,VODl.TQ,09:01:55.200,159.494,565240,m,159.489,159.499
2013-01-15,BARC.TQ,09:02:24.000,245.51,199460,A,245.505,245.515
2013-01-15,VODl.BS,09:02:24.000,162.426,29350,A,162.421,162.431
2013-01-15,BARC.L,09:02:52.800,241.404,891430,m,241.399,241.409
2013-01-15,VODl.BS,09:02:52.800,159.406,890450,c,159.401,159.411
2013-01-15,BARCl.CHI,09:03:21.600,242.368,195070,DRK,242.363,242.373
2013-01-15,VODl.TQ,09:03:21.600,160.741,623900,Auc,160.736,160.746
2013-01-15,BARC.TQ,09:03:50.400,241.907,665640,m,241.902,241.912
2013-01-15,VODl.TQ,09:03:50.400,158.98,15600,C,158.975,158.985
2013-01-15,BARCl.BS,09:04:19.200,241.173,282060,DARK,241.168,241.178
2013-01-15,VODl.CHI,09:04:19.200,159.43,453000,b,159.425,159.435
2013-01-15,BARCl.CHI,09:04:48.000,246.372,8900,c,246.367,246.377
2013-01-15,VOD.L,09:04:48.000,161.015,827020,DARKTRADE,161.01,161.02
2013-01-15,BARCl.BS,09:05:16.800,247.073,783080,x,247.068,247.078
2013-01-15,VOD.L,09:05:16.800,159.506,637380,C,159.501,159.511
2013-01-15,BARCl.BS,09:05:45.600,246.738,58640,A,246.733,246.743
2013-01-15,VODl.CHI,09:05:45.600,162.937,154980,a,162.932,162.942
2013-01-15,BARC.L,09:06:14.400,243.403,425480,X,243.398,243.408
2013-01-15,VODl.CHI,09:06:14.400,159.345,791680,DRK,159.34,159.35
2013-01-15,BARCl.CHI,09:06:43.200,241.786,774500,x,241.781,241.791
2013-01-15,VOD.L,09:06:43.200,162.694,913110,B,162.689,162.699
2013-01-15,BARC.TQ,09:07:12.000,241.556,298940,C,241.551,241.561
2013-01-15,VOD.L,09:07:12.000,159.164,244000,C,159.159,159.169
2013-01-15,BARCl.CHI,09:07:40.800,247.056,421300,auc,247.051,247.061
2013-01-15,VODl.TQ,09:07:40.800,159.63,144290,A,159.625,159.635
2013-01-15,BARC.L,09:08:09.600,246.961,483070,A,246.956,246.966
2013-01-15,VODl.CHI,09:08:09.600,162.724,821950,b,162.719,162.729
2013-01-15,BARC.TQ,09:08:38.400,240.967,695620,DARKTRADE,240.962,240.972
2013-01-15,VODl.TQ,09:08:38.400,160.663,932540,DARKTRADE,160.658,160.668
2013-01-15,BARCl.CHI,09:09:07.200,241.215,639880,DRK,241.21,241.22
2013-01-15,VOD.L,09:09:07.200,159.365,100550,Auc,159.36,159.37
2013-01-15,BARC.TQ,09:09:36.000,240.954,554410,X,240.949,240.959
2013-01-15,VOD.L,09:09:36.000,159.682,785530,m,159.677,159.687
2013-01-15,BARCl.CHI,09:10:04.800,241.466,389020,DRK,241.461,241.471
2013-01-15,VODl.TQ,09:10:04.800,160.779,292790,B,160.774,160.784
2013-01-15,BARCl.CHI,09:10:33.600,244.995,594360,DRK,244.99,245
2013-01-15,VODl.CHI,09:10:33.600,160.599,505990,DRK,160.594,160.604
2013-01-15,BARC.TQ,09:11:02.400,240.937,560790,DARKTRADE,240.932,240.942
2013-01-15,VODl.CHI,09:11:02.400,162.798,850170,x,162.793,162.803
2013-01-15,BARC.L,09:11:31.200,242.674,528520,X,242.669,242.679
2013-01-15,VODl.CHI,09:11:31.200,162.675,503560,x,162.67,162.68
2013-01-15,BARC.TQ,09:12:00.000,244.694,308260,A,244.689,244.699
2013-01-15,VODl.BS,09:12:00.000,162.479,504700,A,162.474,162.484
2013-01-15,BARC.L,09:12:28.800,244.273,547400,C,244.268,244.278
2013-01-15,VODl.TQ,09:12:28.800,162.631,793340,m,162.626,162.636
2013-01-15,BARCl.CHI,09:12:57.600,241.319,602420,b,241.314,241.324
2013-01-15,VOD.L,09:12:57.600,159.439,619580,B,159.434,159.444
2013-01-15,BARC.L,09:13:26.400,241.329,123780,A,241.324,241.334
2013-01-15,VODl.TQ,09:13:26.400,162.646,216770,Auc,162.641,162.651
2013-01-15,BARC.L,09:13:55.200,246.316,636820,B,246.311,246.321
2013-01-15,VOD.L,09:13:55.200,163.029,672090,Auc,163.024,163.034
2013-01-15,BARC.L,09:14:24.000,242.873,547590,DARKTRADE,242.868,242.878
2013-01-15,VODl.CHI,09:14:24.000,159.753,950830,DRK,159.748,159.758
2013-01-15,BARCl.BS,09:14:52.800,241.774,835860,DARK,241.769,241.779
2013-01-15,VODl.TQ,09:14:52.800,160.374,975880,X,160.369,160.379
2013-01-15,BARCl.BS,09:15:21.600,244.111,530880,AUC,244.106,244.116
2013-01-15,VODl.CHI,09:15:21.600,159.488,307070,DRK,159.483,159.493
2013-01-15,BARC.L,09:15:50.400,246.165,740770,Auc,246.16,246.17
2013-01-15,VOD.L,09:15:50.400,162.727,41790,B,162.722,162.732
2013-01-15,BARCl.BS,09:16:19.200,243.157,706610,DARK,243.152,243.162
2013-01-15,VODl.BS,09:16:19.200,160.223,606420,x,160.218,160.228
2013-01-15,BARC.TQ,09:16:48.000,242.252,398390,DARKTRADE,242.247,242.257
2013-01-15,VODl.TQ,09:16:48.000,159.439,536410,X,159.434,159.444
2013-01-15,BARCl.BS,09:17:16.800,243.806,844870,B,243.801,243.811
2013-01-15,VODl.TQ,09:17:16.800,163.03,60090,A,163.025,163.035
2013-01-15,BARC.TQ,09:17:45.600,240.937,140620,A,240.932,240.942
2013-01-15,VODl.BS,09:17:45.600,159.346,741140,c,159.341,159.351
2013-01-15,BARC.L,09:18:14.400,242.006,211730,DARKTRADE,242.001,242.011
2013-01-15,VODl.BS,09:18:14.400,161.935,783470,x,161.93,161.94
2013-01-15,BARCl.CHI,09:18:43.200,245.068,915580,c,245.063,245.073
2013-01-15,VODl.CHI,09:18:43.200,159.312,309740,a,159.307,159.317
2013-01-15,BARCl.BS,09:19:12.000,246.776,160230,c,246.771,246.781
2013-01-15,VOD.L,09:19:12.000,161.746,950630,DARKTRADE,161.741,161.751
2013-01-15,BARC.L,09:19:40.800,241.1,627470,DARKTRADE,241.095,241.105
2013-01-15,VODl.TQ,09:19:40.800,159.041,253730,B,159.036,159.046
2013-01-15,BARCl.BS,09:20:09.600,246.433,29760,AUC,246.428,246.438
2013-01-15,VODl.TQ,09:20:09.600,159.018,109420,A,159.013,159.023
2013-01-15,BARCl.BS,09:20:38.400,246.76,423220,AUC,246.755,246.765
2013-01-15,VOD.L,09:20:38.400,159.955,928250,Auc,159.95,159.96
2013-01-15,BARCl.CHI,09:21:07.200,245.32,63530,a,245.315,245.325
2013-01-15,VODl.CHI,09:21:07.200,161.418,126850,auc,161.413,161.423
2013-01-15,BARC.TQ,09:21:36.000,242.129,708400,DARKTRADE,242.124,242.134
2013-01-15,VODl.CHI,09:21:36.000,160.242,756070,c,160.237,160.247
2013-01-15,BARC.TQ,09:22:04.800,240.973,533290,B,240.968,240.978
2013-01-15,VODl.CHI,09:22:04.800,162.217,744440,auc,162.212,162.222
2013-01-15,BARCl.CHI,09:22:33.600,243.827,176640,auc,243.822,243.832
